chemical,Replication,Concentration,Response,celltype,phenotype
Benz(a)anthracene,1,0.01,0.969619931,iCell Neurons,ATP
Naphthalene,1,0.01,1.0441083,iCell Neurons,ATP
Fluoranthene,1,0.01,1.01716029,iCell Neurons,ATP
"p,p'-DDT",1,0.01,1.161052498,iCell Neurons,ATP
Dieldrin,1,0.01,1.137917885,iCell Neurons,ATP
Aldrin,1,0.01,1.204271005,iCell Neurons,ATP
Heptachlor,1,0.01,1.303419347,iCell Neurons,ATP
Lindane,1,0.01,1.059616118,iCell Neurons,ATP
Disulfoton,1,0.01,1.052752002,iCell Neurons,ATP
Endrin,1,0.01,1.255370535,iCell Neurons,ATP
Diazinon,1,0.01,1.125206559,iCell Neurons,ATP
Heptachlor epoxide,1,0.01,1.114274819,iCell Neurons,ATP
Pentachlorophenol,1,0.01,1.076903521,iCell Neurons,ATP
Dibutyl phthalate,1,0.01,1.047667472,iCell Neurons,ATP
Chlorpyrifos,1,0.01,1.116054404,iCell Neurons,ATP
Di(2-ethylhexyl) phthalate,1,0.01,1.188763188,iCell Neurons,ATP
"2,4,6-Trichlorophenol",1,0.01,1.062921063,iCell Neurons,ATP
Ethion,1,0.01,0.797762807,iCell Neurons,ATP
Azinphos-methyl,1,0.01,0.910385153,iCell Neurons,ATP
"2,4,5-Trichlorophenol",1,0.01,0.572518114,iCell Neurons,ATP
Parathion,1,0.01,1.399771196,iCell Neurons,ATP
Benzo(b)fluoranthene,1,0.01,1.201220287,iCell Neurons,ATP
Trifluralin,1,0.01,1.512647769,iCell Neurons,ATP
Acenaphthene,1,0.01,0.867166645,iCell Neurons,ATP
"p,p'-DDD",1,0.01,0.908351341,iCell Neurons,ATP
Benzidine,1,0.01,0.941400788,iCell Neurons,ATP
Endosulfan,1,0.01,0.978772086,iCell Neurons,ATP
Methoxychlor,1,0.01,1.015889157,iCell Neurons,ATP
"2,4-Dinitrophenol",1,0.01,0.981060125,iCell Neurons,ATP
"2,4-Dinitrotoluene",1,0.01,1.093682471,iCell Neurons,ATP
Dicofol,1,0.01,1.0565654,iCell Neurons,ATP
p-Cresol,1,0.01,1.041820262,iCell Neurons,ATP
"o,p'-DDT",1,0.01,0.931994407,iCell Neurons,ATP
"2-Methyl-4,6-dinitrophenol",1,0.01,0.97775518,iCell Neurons,ATP
"1,2,3-Trichlorobenzene",1,0.01,0.916740816,iCell Neurons,ATP
Lead nitrate,1,0.01,0.992754544,iCell Neurons,ATP
Cadmium chloride,1,0.01,1.044362527,iCell Neurons,ATP
Zinc chloride,1,0.01,1.016906063,iCell Neurons,ATP
Mercuric chloride,1,0.01,1.031905428,iCell Neurons,ATP
Potassium chromate (VI),1,0.01,0.919283081,iCell Neurons,ATP
Cobalt chloride,1,0.01,0.762933774,iCell Neurons,ATP
Nickel chloride,1,0.01,0.957671285,iCell Neurons,ATP
Benz(a)anthracene,2,0.01,0.892370193,iCell Neurons,ATP
Naphthalene,2,0.01,1.132505983,iCell Neurons,ATP
Fluoranthene,2,0.01,1.02426401,iCell Neurons,ATP
"p,p'-DDT",2,0.01,1.03261172,iCell Neurons,ATP
Dieldrin,2,0.01,1.123601759,iCell Neurons,ATP
Aldrin,2,0.01,1.080750181,iCell Neurons,ATP
Heptachlor,2,0.01,1.120819189,iCell Neurons,ATP
Lindane,2,0.01,1.056820079,iCell Neurons,ATP
Disulfoton,2,0.01,1.160053425,iCell Neurons,ATP
Endrin,2,0.01,1.131392955,iCell Neurons,ATP
Diazinon,2,0.01,1.171740219,iCell Neurons,ATP
Heptachlor epoxide,2,0.01,1.320329456,iCell Neurons,ATP
Pentachlorophenol,2,0.01,1.241860983,iCell Neurons,ATP
Dibutyl phthalate,2,0.01,1.100784685,iCell Neurons,ATP
Chlorpyrifos,2,0.01,1.174522789,iCell Neurons,ATP
Di(2-ethylhexyl) phthalate,2,0.01,1.061828705,iCell Neurons,ATP
"2,4,6-Trichlorophenol",2,0.01,1.221269965,iCell Neurons,ATP
Ethion,2,0.01,1.179253158,iCell Neurons,ATP
Azinphos-methyl,2,0.01,0.860092381,iCell Neurons,ATP
"2,4,5-Trichlorophenol",2,0.01,0.792197674,iCell Neurons,ATP
Parathion,2,0.01,0.666425511,iCell Neurons,ATP
Benzo(b)fluoranthene,2,0.01,0.860648895,iCell Neurons,ATP
Trifluralin,2,0.01,0.790528132,iCell Neurons,ATP
Acenaphthene,2,0.01,0.814736491,iCell Neurons,ATP
"p,p'-DDD",2,0.01,0.97612555,iCell Neurons,ATP
Benzidine,2,0.01,0.887361567,iCell Neurons,ATP
Endosulfan,2,0.01,1.008403361,iCell Neurons,ATP
Methoxychlor,2,0.01,0.84534476,iCell Neurons,ATP
"2,4-Dinitrophenol",2,0.01,0.9880906,iCell Neurons,ATP
"2,4-Dinitrotoluene",2,0.01,1.054037509,iCell Neurons,ATP
Dicofol,2,0.01,0.892926707,iCell Neurons,ATP
p-Cresol,2,0.01,0.98447326,iCell Neurons,ATP
"o,p'-DDT",2,0.01,1.072402471,iCell Neurons,ATP
"2-Methyl-4,6-dinitrophenol",2,0.01,0.796371529,iCell Neurons,ATP
"1,2,3-Trichlorobenzene",2,0.01,1.032333463,iCell Neurons,ATP
Lead nitrate,2,0.01,0.921587178,iCell Neurons,ATP
Cadmium chloride,2,0.01,0.778006567,iCell Neurons,ATP
Zinc chloride,2,0.01,0.764650231,iCell Neurons,ATP
Mercuric chloride,2,0.01,0.72207691,iCell Neurons,ATP
Potassium chromate (VI),2,0.01,0.645556236,iCell Neurons,ATP
Cobalt chloride,2,0.01,0.853414213,iCell Neurons,ATP
Nickel chloride,2,0.01,0.889031109,iCell Neurons,ATP
Benz(a)anthracene,1,0.1,0.996059489,iCell Neurons,ATP
Naphthalene,1,0.1,0.963518495,iCell Neurons,ATP
Fluoranthene,1,0.1,1.028600483,iCell Neurons,ATP
"p,p'-DDT",1,0.1,1.164103216,iCell Neurons,ATP
Dieldrin,1,0.1,1.126223465,iCell Neurons,ATP
Aldrin,1,0.1,1.000635566,iCell Neurons,ATP
Heptachlor,1,0.1,1.068005593,iCell Neurons,ATP
Lindane,1,0.1,1.006482776,iCell Neurons,ATP
Disulfoton,1,0.1,1.073598576,iCell Neurons,ATP
Endrin,1,0.1,1.06749714,iCell Neurons,ATP
Diazinon,1,0.1,0.945214186,iCell Neurons,ATP
Heptachlor epoxide,1,0.1,1.182407525,iCell Neurons,ATP
Pentachlorophenol,1,0.1,1.068514046,iCell Neurons,ATP
Dibutyl phthalate,1,0.1,1.214440066,iCell Neurons,ATP
Chlorpyrifos,1,0.1,1.040040676,iCell Neurons,ATP
Di(2-ethylhexyl) phthalate,1,0.1,1.124189653,iCell Neurons,ATP
"2,4,6-Trichlorophenol",1,0.1,1.032413881,iCell Neurons,ATP
Ethion,1,0.1,1.018177196,iCell Neurons,ATP
Azinphos-methyl,1,0.1,0.684632007,iCell Neurons,ATP
"2,4,5-Trichlorophenol",1,0.1,0.973941782,iCell Neurons,ATP
Parathion,1,0.1,0.859794077,iCell Neurons,ATP
Benzo(b)fluoranthene,1,0.1,0.979026312,iCell Neurons,ATP
Trifluralin,1,0.1,0.94419728,iCell Neurons,ATP
Acenaphthene,1,0.1,1.001144019,iCell Neurons,ATP
"p,p'-DDD",1,0.1,1.237828906,iCell Neurons,ATP
Benzidine,1,0.1,1.160035592,iCell Neurons,ATP
Endosulfan,1,0.1,1.010296174,iCell Neurons,ATP
Methoxychlor,1,0.1,1.013346892,iCell Neurons,ATP
"2,4-Dinitrophenol",1,0.1,1.064700648,iCell Neurons,ATP
"2,4-Dinitrotoluene",1,0.1,0.963264268,iCell Neurons,ATP
Dicofol,1,0.1,1.077157748,iCell Neurons,ATP
p-Cresol,1,0.1,1.120884708,iCell Neurons,ATP
"o,p'-DDT",1,0.1,1.326045507,iCell Neurons,ATP
"2-Methyl-4,6-dinitrophenol",1,0.1,1.01207576,iCell Neurons,ATP
"1,2,3-Trichlorobenzene",1,0.1,1.220287276,iCell Neurons,ATP
Lead nitrate,1,0.1,0.96682344,iCell Neurons,ATP
Cadmium chloride,1,0.1,1.038769544,iCell Neurons,ATP
Zinc chloride,1,0.1,0.986144655,iCell Neurons,ATP
Mercuric chloride,1,0.1,0.128130164,iCell Neurons,ATP
Potassium chromate (VI),1,0.1,0.757086564,iCell Neurons,ATP
Cobalt chloride,1,0.1,1.165374349,iCell Neurons,ATP
Nickel chloride,1,0.1,0.889284352,iCell Neurons,ATP
Benz(a)anthracene,2,0.1,0.924648005,iCell Neurons,ATP
Naphthalene,2,0.1,0.954143247,iCell Neurons,ATP
