"mixture","Replication","Dilution","Response","celltype","phenotype"
"AC50-L","1",0.0001,1.03467941828073,"iCell Neurons","ATP"
"POD-L","1",0.0001,1.05135010638531,"iCell Neurons","ATP"
"RFD-H","1",0.0001,1.0280988835026,"iCell Neurons","ATP"
"RFD-L","1",0.0001,1.06253701550813,"iCell Neurons","ATP"
"Expo-H","1",0.0001,1.03665357871416,"iCell Neurons","ATP"
"Expo-L","1",0.0001,1.14391629559762,"iCell Neurons","ATP"
"AC50-H","1",0.0001,0.924784487486016,"iCell Neurons","ATP"
"POD-H","1",0.0001,1.00067998859374,"iCell Neurons","ATP"
"AC50-L","2",0.0001,0.766632301651714,"iCell Neurons","ATP"
"POD-L","2",0.0001,0.840334291166729,"iCell Neurons","ATP"
"RFD-H","2",0.0001,1.08293667332032,"iCell Neurons","ATP"
"RFD-L","2",0.0001,1.00309285134572,"iCell Neurons","ATP"
"Expo-H","2",0.0001,1.12965847024502,"iCell Neurons","ATP"
"Expo-L","2",0.0001,1.07021430608261,"iCell Neurons","ATP"
"AC50-H","2",0.0001,1.04433086928864,"iCell Neurons","ATP"
"POD-H","2",0.0001,0.896707539099344,"iCell Neurons","ATP"
"AC50-L","3",0.0001,0.993880102656343,"iCell Neurons","ATP"
"POD-L","3",0.0001,0.886178683454342,"iCell Neurons","ATP"
"RFD-H","3",0.0001,0.896488187940073,"iCell Neurons","ATP"
"RFD-L","3",0.0001,1.04476957160719,"iCell Neurons","ATP"
"Expo-H","3",0.0001,1.02875693698041,"iCell Neurons","ATP"
"Expo-L","3",0.0001,1.11956831691856,"iCell Neurons","ATP"
"AC50-H","3",0.0001,1.09258812432824,"iCell Neurons","ATP"
"POD-H","3",0.0001,1.08798174998355,"iCell Neurons","ATP"
"AC50-L","4",0.0001,0.813062726956176,"iCell Neurons","ATP"
"POD-L","4",0.0001,0.909814455553897,"iCell Neurons","ATP"
"RFD-H","4",0.0001,0.990896881062528,"iCell Neurons","ATP"
"RFD-L","4",0.0001,0.920758095806596,"iCell Neurons","ATP"
"Expo-H","4",0.0001,1.05879719444859,"iCell Neurons","ATP"
"Expo-L","4",0.0001,0.945132567278516,"iCell Neurons","ATP"
"AC50-H","4",0.0001,1.02820474556036,"iCell Neurons","ATP"
"POD-H","4",0.0001,0.919265781226683,"iCell Neurons","ATP"
"AC50-L","5",0.0001,0.956573645724519,"iCell Neurons","ATP"
"POD-L","5",0.0001,1.06402029547829,"iCell Neurons","ATP"
"RFD-H","5",0.0001,0.913047803810377,"iCell Neurons","ATP"
"RFD-L","5",0.0001,0.855096254290405,"iCell Neurons","ATP"
"Expo-H","5",0.0001,1.32492662786649,"iCell Neurons","ATP"
"Expo-L","5",0.0001,1.02049445356414,"iCell Neurons","ATP"
"AC50-H","5",0.0001,0.903099039944287,"iCell Neurons","ATP"
"POD-H","5",0.0001,1.09610505894643,"iCell Neurons","ATP"
"AC50-L","6",0.0001,1.02969706014028,"iCell Neurons","ATP"
"POD-L","6",0.0001,0.845147490424315,"iCell Neurons","ATP"
